ADM_CD,사업체수_2022,종사자수_2022,금융기관_2023,유통업체수_2022,대형마트_2022,쇼핑업체수_2022,대학교,기타대학,면적
11230750.0,2144,18884,0,1,0,1,0.0,0.0,1.43
11240510.0,898,2399,0,0,0,0,0.0,0.0,0.77
11240520.0,1794,16942,0,0,0,0,0.0,0.0,1.59
11240530.0,1249,3680,0,0,0,0,0.0,0.0,0.51
11240540.0,1359,4916,0,0,0,0,0.0,0.0,0.53
11240550.0,1447,3223,0,1,0,1,0.0,0.0,0.58
11240560.0,1793,4759,0,1,0,1,0.0,0.0,0.89
11240570.0,2025,7906,0,0,0,0,0.0,0.0,0.5
11240580.0,5101,24960,0,0,0,0,0.0,0.0,0.8
11240590.0,771,5088,0,1,0,1,1.0,0.0,3.17
11240600.0,3539,20586,0,1,0,1,0.0,0.0,1.65
11240610.0,3496,13713,0,1,0,1,0.0,0.0,0.79
11240620.0,1285,3934,0,0,0,0,0.0,0.0,0.53
11240630.0,3916,15906,0,1,0,1,0.0,0.0,0.95
11240640.0,2829,10270,0,0,0,0,0.0,0.0,0.95
11240650.0,4874,29914,0,0,0,0,0.0,0.0,1.13
11240660.0,3731,12330,0,0,0,0,0.0,0.0,1.34
11240670.0,3314,12174,0,1,0,1,0.0,0.0,0.96
11240680.0,1932,7535,0,0,0,0,0.0,0.0,0.56
11240690.0,13609,100070,0,3,1,2,0.0,0.0,2.2
11240810.0,1983,9411,0,0,0,0,0.0,0.0,1.37
11240820.0,1609,5929,0,0,0,0,0.0,0.0,2.55
11240710.0,4307,22020,0,0,0,0,0.0,0.0,0.94
11240790.0,1228,4519,0,0,0,0,0.0,0.0,2.18
11240800.0,2087,8939,0,5,1,4,0.0,0.0,1.49
11240750.0,626,1806,0,0,0,0,0.0,0.0,1.56
11240770.0,3598,55087,0,6,2,4,0.0,0.0,2.79
11240780.0,338,1289,0,1,0,1,0.0,0.0,0.6
11250750.0,1618,4963,0,0,0,0,0.0,0.0,2.26
11250760.0,1741,7197,0,0,0,0,0.0,0.0,1.82
11250770.0,541,19974,0,0,0,0,0.0,0.0,1.09
11250530.0,2680,8064,0,0,0,0,0.0,0.0,0.61
11250540.0,1515,5549,0,1,1,0,0.0,0.0,0.97
11250550.0,1161,2970,0,0,0,0,0.0,0.0,1.51
11250560.0,1312,5376,0,0,0,0,0.0,0.0,2.5
11250720.0,2709,6645,0,0,0,0,0.0,0.0,1.02
11250580.0,1248,3858,0,0,0,0,0.0,0.0,1.18
11250590.0,1335,2740,0,0,0,0,0.0,0.0,2.51
11250610.0,2438,5736,0,1,1,0,0.0,0.0,0.71
11250730.0,4736,16059,0,3,1,2,0.0,0.0,1.57
11250630.0,2570,10141,0,0,0,0,0.0,0.0,0.79
